food,Caloric Value,Fat,Carbohydrates,Protein,Sugars,Dietary Fiber,Sodium,Cholesterol,Nutrition Density
spearmint fresh,3,0.089,0.5,0.2,0.0,0.4,0.092,0.0,1.261
poultry seasoning,14,0.3,2.9,0.4,0.1,0.5,0.063,0.0,50.0
nutmeg ground,12,0.8,1.1,0.1,0.6,0.5,0.095,0.0,6.656
curry powder,20,0.9,3.7,0.8,0.2,2.1,0.004,0.0,7.681
peppermint,1,0.004,0.2,0.038,0.0,0.1,0.007,0.0,0.423
salt,0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,4.329
coriander leaves dried,2,0.098,0.3,0.1,0.045,0.095,0.018,0.0,0.633
sage ground,2,0.046,0.4,0.058,0.052,0.3,0.083,0.0,12.796
garlic powder,10,0.029,2.3,0.5,0.068,0.3,0.082,0.0,3.269
dill weed fresh,4,0.063,0.6,0.3,0.0,0.2,0.017,0.0,1.201
cardamom,6,0.1,1.4,0.2,0.0,0.6,0.013,0.0,10.7
saffron,2,0.092,0.5,0.071,0.0,0.002,0.063,0.0,0.682
allspice ground,5,0.2,1.4,0.1,0.0,0.4,0.001,0.0,15.5
parsley fresh,1,0.078,0.2,0.1,0.001,0.1,0.056,0.0,0.509
oregano dried,265,4.3,68.9,9.0,4.1,42.5,0.009,0.0,126.9
marjoram dried,5,0.1,1.0,0.2,0.077,0.7,0.004,0.0,2.032
chives raw,1,0.088,0.1,0.03,0.02,0.044,0.099,0.0,0.417
fireweed leaves,24,0.6,4.4,1.1,0.0,2.4,0.035,0.0,108.3
rosemary fresh,1,0.1,0.1,0.005,0.0,0.012,0.039,0.0,0.369
garlic,4,0.026,0.9,0.2,0.043,0.064,0.018,0.0,1.253
cinnamon ground,6,0.044,2.1,0.1,0.066,1.4,0.022,0.0,30.0
chervil dried,5,0.002,0.9,0.4,0.0,0.2,0.076,0.0,28.777
cayenne pepper,1,0.094,0.2,0.039,0.089,0.052,0.059,0.0,0.988
turmeric ground,8,0.2,1.4,0.2,0.062,0.5,0.064,0.0,7.8
mustard,3,0.2,0.3,0.2,0.048,0.2,0.015,0.0,1.046
chili powder,8,0.4,1.3,0.4,0.2,0.9,0.014,0.0,3.182
thyme dried,276,7.4,63.9,9.1,1.7,37.0,0.016,0.0,120.6
spearmint dried,1,0.018,0.3,0.094,0.0,0.1,0.012,0.0,0.649
basil dried,2,0.027,0.3,0.2,0.054,0.3,0.089,0.0,1.0
dandelion greens cooked,35,0.6,6.7,2.1,1.7,3.0,0.3,0.0,180.2
basil fresh,2,0.089,0.2,0.2,0.064,0.1,0.058,0.0,0.752
dock,29,0.9,4.3,2.7,0.0,3.9,0.025,0.0,12.2
garden cress cooked,31,0.8,5.1,2.6,4.2,0.9,0.3,0.0,124.0
onion powder,8,0.024,1.9,0.2,0.2,0.4,0.048,0.0,12.389
dandelion greens raw,25,0.4,5.1,1.5,0.4,1.9,0.043,0.0,132.8
yokan,36,0.022,8.5,0.5,0.0,0.0,0.05,0.0,9.059
fava beans cooked,187,0.7,33.4,12.9,3.1,9.2,0.081,0.0,56.778
french beans raw,631,3.7,118.0,34.6,0.0,46.4,0.069,0.0,559.7
chickpeas canned,352,7.0,57.0,17.8,0.0,0.0,0.6,0.0,198.7
yellow beans cooked,255,1.9,44.7,16.2,0.0,18.4,0.086,0.0,81.7
mung beans cooked,212,0.8,38.7,14.2,4.0,15.4,0.083,0.0,69.586
white beans canned,299,0.8,55.5,19.0,0.8,12.6,0.079,0.0,287.0
pink beans cooked,252,0.8,47.2,15.3,0.6,9.0,0.075,0.0,73.103
pink beans raw,720,2.4,134.8,44.0,4.5,26.7,0.057,0.0,495.1
navy beans raw,701,3.1,126.4,46.4,8.1,50.8,0.059,0.0,543.9
snap beans cooked,44,0.4,9.9,2.4,1.9,4.0,0.086,0.0,16.848
black eyed cowpeas raw,131,0.5,27.3,4.3,4.4,7.3,0.048,0.0,227.3
edamame cooked,189,8.1,13.8,18.5,3.4,8.1,0.034,0.0,49.248
black eyed cowpeas cooked,160,0.6,33.5,5.2,5.3,8.3,0.036,0.0,47.9
hyacinth beans cooked,227,1.1,40.2,15.8,0.0,0.0,0.0,0.0,191.981
cowpeas canned,185,1.3,32.7,11.4,0.0,7.9,0.7,0.0,110.1
pinto beans cooked,245,1.1,44.8,15.4,0.6,15.4,0.085,0.0,77.502
winged beans cooked,253,10.0,25.7,18.3,0.0,0.0,0.4,0.0,305.6
pinto beans raw,670,2.4,120.7,41.3,4.1,29.9,0.036,0.0,434.4
black turtle beans raw,624,1.7,116.4,39.1,3.9,28.5,0.041,0.0,496.1
fava beans raw,512,2.3,87.4,39.2,8.6,37.5,0.1,0.0,333.1
lima beans canned,190,0.4,35.9,11.9,0.0,11.6,0.8,0.0,114.8
hyacinth beans raw,722,3.5,127.6,50.2,0.0,53.8,0.073,0.0,518.8
white beans raw,673,1.7,121.7,47.2,4.3,30.7,0.051,0.0,707.2
snap beans canned,66,0.4,15.4,3.5,0.0,6.6,0.09,0.0,150.2
navy beans canned,296,1.1,53.6,19.7,0.7,13.4,1.2,0.0,217.5
mung beans raw,718,2.4,129.6,49.4,13.7,33.7,0.085,0.0,512.2
adzuki beans raw,648,1.0,123.9,39.1,0.0,25.0,0.06,0.0,328.8
black turtle beans cooked,241,0.6,45.0,15.1,0.6,15.4,0.06,0.0,76.721
pink lentils raw,662,4.2,113.6,47.9,0.0,20.7,0.092,0.0,282.9
yellow beans raw,676,5.1,119.0,43.1,0.0,49.2,0.046,0.0,555.5
white beans cooked,249,0.6,44.9,17.4,0.6,11.3,0.045,0.0,74.959
lentils raw,678,2.0,115.4,49.5,3.9,58.6,0.039,0.0,355.9
cranberry beans cooked,241,0.8,43.3,16.5,0.0,17.7,0.4,0.0,78.8
chickpeas raw,728,12.1,121.3,38.6,21.4,34.8,0.005,0.0,437.3
